county_site_id,parameter_code,date_local,arithmetic_mean
005-0004,61101,2000-01-01,2.229167
005-0004,61101,2000-01-02,1.983333
005-0004,61101,2000-01-03,2.216667
005-0004,61101,2000-01-04,3.025000
005-0004,61101,2000-01-05,2.750000
005-0004,61101,2000-01-06,2.079167
005-0004,61101,2000-01-07,2.425000
005-0004,61101,2000-01-08,3.841667
005-0004,61101,2000-01-09,6.483333
005-0004,61101,2000-01-10,4.783333
005-0004,61101,2000-01-11,8.833333
005-0004,61101,2000-01-12,3.787500
005-0004,61101,2000-01-13,2.141667
005-0004,61101,2000-01-14,2.566667
005-0004,61101,2000-01-15,2.462500
005-0004,61101,2000-01-16,3.654167
005-0004,61101,2000-01-17,2.216667
005-0004,61101,2000-01-18,2.195833
005-0004,61101,2000-01-19,2.604167
005-0004,61101,2000-01-20,2.083333
005-0004,61101,2000-01-21,2.654167
005-0004,61101,2000-01-22,2.537500
005-0004,61101,2000-01-23,2.104167
005-0004,61101,2000-01-24,1.520833
005-0004,61101,2000-01-25,1.766667
005-0004,61101,2000-01-26,3.254167
005-0004,61101,2000-01-27,3.129167
005-0004,61101,2000-01-28,3.025000
005-0004,61101,2000-01-29,2.454167
005-0004,61101,2000-01-30,3.558333
005-0004,61101,2000-01-31,2.016667
005-0004,61101,2000-02-01,1.825000
005-0004,61101,2000-02-02,2.054167
005-0004,61101,2000-02-03,3.166667
005-0004,61101,2000-02-04,8.662500
005-0004,61101,2000-02-05,2.545833
005-0004,61101,2000-02-06,2.529167
005-0004,61101,2000-02-07,1.937500
005-0004,61101,2000-02-08,2.079167
005-0004,61101,2000-02-09,3.633333
005-0004,61101,2000-02-10,2.225000
005-0004,61101,2000-02-11,4.150000
005-0004,61101,2000-02-12,3.725000
005-0004,61101,2000-02-13,4.629167
005-0004,61101,2000-02-14,8.379167
005-0004,61101,2000-02-15,5.466667
005-0004,61101,2000-02-16,2.487500
005-0004,61101,2000-02-17,2.358333
005-0004,61101,2000-02-18,2.404167
005-0004,61101,2000-02-19,2.529167
005-0004,61101,2000-02-20,2.687500
005-0004,61101,2000-02-21,3.954167
005-0004,61101,2000-02-22,4.195833
005-0004,61101,2000-02-23,2.520833
005-0004,61101,2000-02-24,3.537500
005-0004,61101,2000-02-25,2.295833
005-0004,61101,2000-02-26,2.391667
005-0004,61101,2000-02-27,3.291667
005-0004,61101,2000-02-28,3.354167
005-0004,61101,2000-02-29,2.654167
005-0004,61101,2000-03-01,3.108333
005-0004,61101,2000-03-02,2.758333
005-0004,61101,2000-03-03,3.808333
005-0004,61101,2000-03-04,2.272727
005-0004,61101,2000-03-05,4.366667
005-0004,61101,2000-03-06,3.591667
005-0004,61101,2000-03-07,3.216667
005-0004,61101,2000-03-08,3.400000
005-0004,61101,2000-03-09,3.312500
005-0004,61101,2000-03-10,3.058333
005-0004,61101,2000-03-11,3.045833
005-0004,61101,2000-03-12,2.662500
005-0004,61101,2000-03-13,3.054167
005-0004,61101,2000-03-14,2.829167
005-0004,61101,2000-03-15,4.654167
005-0004,61101,2000-03-16,3.783333
005-0004,61101,2000-03-17,3.058333
005-0004,61101,2000-03-18,2.812500
005-0004,61101,2000-03-19,4.783333
005-0004,61101,2000-03-20,4.075000
005-0004,61101,2000-03-21,5.695833
005-0004,61101,2000-03-22,3.162500
005-0004,61101,2000-03-23,3.112500
005-0004,61101,2000-03-24,2.870833
005-0004,61101,2000-03-25,3.279167
005-0004,61101,2000-03-26,3.233333
005-0004,61101,2000-03-27,3.066667
005-0004,61101,2000-03-28,4.554167
005-0004,61101,2000-03-29,4.012500
005-0004,61101,2000-03-30,3.712500
005-0004,61101,2000-03-31,4.508333
005-0004,61101,2000-04-01,3.112500
005-0004,61101,2000-04-02,4.237500
005-0004,61101,2000-04-03,2.858333
005-0004,61101,2000-04-04,4.140909
005-0004,61101,2000-04-05,3.854167
005-0004,61101,2000-04-06,4.616667
005-0004,61101,2000-04-07,3.333333
005-0004,61101,2000-04-08,3.091667
005-0004,61101,2000-04-09,3.654167
005-0004,61101,2000-04-10,3.175000
005-0004,61101,2000-04-11,3.054167
005-0004,61101,2000-04-12,3.820833
005-0004,61101,2000-04-13,4.966667
005-0004,61101,2000-04-14,3.387500
005-0004,61101,2000-04-15,3.425000
005-0004,61101,2000-04-16,4.712500
005-0004,61101,2000-04-17,3.920833
005-0004,61101,2000-04-18,6.287500
005-0004,61101,2000-04-19,2.704167
005-0004,61101,2000-04-20,3.179167
005-0004,61101,2000-04-21,3.500000
005-0004,61101,2000-04-22,3.779167
005-0004,61101,2000-04-23,3.150000
005-0004,61101,2000-04-24,3.870833
005-0004,61101,2000-04-25,4.470833
005-0004,61101,2000-04-26,2.795833
005-0004,61101,2000-04-27,2.825000
005-0004,61101,2000-04-28,5.733333
