county_site_id,parameter_code,date_local,arithmetic_mean,max_value
057-0002,61101,2008-09-01,3.750000,7.900000
057-0002,61101,2008-09-02,2.645833,5.000000
057-0002,61101,2008-09-03,2.400000,5.200000
057-0002,61101,2008-09-04,3.220833,6.400000
057-0002,61101,2008-09-05,3.000000,5.600000
057-0002,61101,2008-09-06,2.504167,5.200000
057-0002,61101,2008-09-07,2.487500,4.700000
057-0002,61101,2008-09-08,2.283333,4.200000
057-0002,61101,2008-09-09,5.662500,9.600000
057-0002,61101,2008-09-10,3.183333,6.200000
057-0002,61101,2008-09-11,3.000000,4.900000
057-0002,61101,2008-09-12,2.612500,5.400000
057-0002,61101,2008-09-13,2.258333,4.300000
057-0002,61101,2008-09-14,2.083333,4.100000
057-0002,61101,2008-09-15,2.245833,4.000000
057-0002,61101,2008-09-16,2.120833,3.600000
057-0002,61101,2008-09-17,2.962500,7.000000
057-0002,61101,2008-09-18,2.016667,3.600000
057-0002,61101,2008-09-19,3.212500,7.100000
057-0002,61101,2008-09-20,5.554167,12.900000
057-0002,61101,2008-09-21,2.529167,4.000000
057-0002,61101,2008-09-22,3.637500,8.100000
057-0002,61101,2008-09-23,1.958333,3.200000
057-0002,61101,2008-09-24,2.025000,3.700000
057-0002,61101,2008-09-25,2.975000,7.300000
057-0002,61101,2008-09-26,2.295833,4.400000
057-0002,61101,2008-09-27,2.183333,3.000000
057-0002,61101,2008-09-28,2.233333,4.300000
057-0002,61101,2008-09-29,2.270833,3.900000
057-0002,61101,2008-09-30,2.079167,3.800000
057-0002,61101,2008-10-01,2.591667,4.300000
057-0002,61101,2008-10-02,2.225000,3.800000
057-0002,61101,2008-10-03,3.079167,8.000000
057-0002,61101,2008-10-04,5.125000,10.200000
057-0002,61101,2008-10-05,3.254167,6.600000
057-0002,61101,2008-10-06,2.333333,4.200000
057-0002,61101,2008-10-07,2.541667,6.300000
057-0002,61101,2008-10-08,2.283333,4.000000
057-0002,61101,2008-10-09,3.537500,8.100000
057-0002,61101,2008-10-10,4.404167,10.000000
057-0002,61101,2008-10-11,5.258333,9.600000
057-0002,61101,2008-10-12,2.670833,5.300000
057-0002,61101,2008-10-13,2.295833,3.700000
057-0002,61101,2008-10-14,2.000000,3.600000
057-0002,61101,2008-10-15,1.920833,3.600000
057-0002,61101,2008-10-16,1.925000,3.700000
057-0002,61101,2008-10-17,1.850000,3.100000
057-0002,61101,2008-10-18,2.312500,5.700000
057-0002,61101,2008-10-19,1.983333,3.200000
057-0002,61101,2008-10-20,3.012500,4.300000
057-0002,61101,2008-10-21,5.570833,9.800000
057-0002,61101,2008-10-22,2.304167,4.200000
057-0002,61101,2008-10-23,1.841667,3.300000
057-0002,61101,2008-10-24,1.866667,3.500000
057-0002,61101,2008-10-25,2.133333,5.600000
057-0002,61101,2008-10-26,2.483333,4.700000
057-0002,61101,2008-10-27,1.870833,3.200000
057-0002,61101,2008-10-28,1.837500,3.600000
057-0002,61101,2008-10-29,1.991667,4.100000
057-0002,61101,2008-10-30,1.875000,3.100000
057-0002,61101,2008-10-31,4.075000,7.600000
057-0002,61101,2008-11-01,3.975000,7.200000
057-0002,61101,2008-11-02,6.966667,13.900000
057-0002,61101,2008-11-03,2.420833,5.800000
057-0002,61101,2008-11-04,4.733333,9.400000
057-0002,61101,2008-11-05,3.845833,6.800000
057-0002,61101,2008-11-06,1.933333,4.000000
057-0002,61101,2008-11-07,1.812500,2.500000
057-0002,61101,2008-11-08,1.929167,3.500000
057-0002,61101,2008-11-09,3.495833,7.300000
057-0002,61101,2008-11-10,2.683333,5.400000
057-0002,61101,2008-11-11,2.562500,5.800000
057-0002,61101,2008-11-12,2.908333,5.100000
057-0002,61101,2008-11-13,3.770833,7.500000
057-0002,61101,2008-11-14,3.295833,7.100000
057-0002,61101,2008-11-15,1.858333,3.600000
057-0002,61101,2008-11-16,1.845833,3.200000
057-0002,61101,2008-11-17,1.979167,3.500000
057-0002,61101,2008-11-18,1.787500,2.800000
057-0002,61101,2008-11-19,1.816667,3.600000
057-0002,61101,2008-11-20,5.495833,15.100000
