elev_ft_NAVD88,area_ft2,volume_ft3
4170,0,0
4170.01,0,0
4170.02,0,0
4170.03,0,0
4170.04,0,0
4170.05,0,0
4170.06,0,0
4170.07,0,0
4170.08,0,0
4170.09,0,0
4170.1,0,0
4170.11,0,0
4170.12,0,0
4170.13,0,0
4170.14,0,0
4170.15,0,0
4170.16,0,0
4170.17,0,0
4170.18,0,0
4170.19,0,0
4170.2,0,0
4170.21,0,0
4170.22,0,0
4170.23,0,0
4170.24,0,0
4170.25,0,0
4170.26,0,0
4170.27,0,0
4170.28,0,0
4170.29,0,0
4170.3,0,0
4170.31,0,0
4170.32,0,0
4170.33,0,0
4170.34,0,0
4170.35,0,0
4170.36,0,0
4170.37,0,0
4170.38,0,0
4170.39,0,0
4170.4,0,0
4170.41,0,0
4170.42,0,0
4170.43,0,0
4170.44,0,0
4170.45,0,0
4170.46,0,0
4170.47,0,0
4170.48,0,0
4170.49,0,0
4170.5,0,0
4170.51,0,0
4170.52,0,0
4170.53,0,0
4170.54,0,0
4170.55,0,0
4170.56,0,0
4170.57,0,0
4170.58,0,0
4170.59,0,0
4170.6,0,0
4170.61,0,0
4170.62,0,0
4170.63,0,0
4170.64,0,0
4170.65,0,0
4170.66,0,0
4170.67,0,0
4170.68,0,0
4170.69,0,0
4170.7,0,0
4170.71,0,0
4170.72,0,0
4170.73,0,0
4170.74,0,0
4170.75,0,0
4170.76,0,0
4170.77,0,0
4170.78,0,0
4170.79,0,0
4170.8,0,0
4170.81,0,0
4170.82,0,0
4170.83,0,0
4170.84,0,0
4170.85,0,0
4170.86,0,0
4170.87,0,0
4170.88,0,0
4170.89,0,0
4170.9,0,0
4170.91,0,0
4170.92,0,0
4170.93,0,0
4170.94,0,0
4170.95,0,0
4170.96,0,0
4170.97,0,0
4170.98,0,0
4170.99,0,0
4171,0,0
4171.01,0,0
4171.02,0,0
4171.03,0,0
4171.04,0,0
4171.05,0,0
4171.06,0,0
4171.07,0,0
4171.08,0,0
4171.09,0,0
4171.1,0,0
4171.11,0,0
4171.12,0,0
4171.13,0,0
4171.14,0,0
4171.15,0,0
4171.16,0,0
4171.17,0,0
4171.18,0,0
4171.19,0,0
4171.2,0,0
4171.21,0,0
4171.22,0,0
4171.23,0,0
4171.24,0,0
4171.25,0,0
4171.26,0,0
4171.27,0,0
4171.28,0,0
4171.29,0,0
4171.3,0,0
4171.31,0,0
4171.32,0,0
4171.33,0,0
4171.34,0,0
4171.35,0,0
4171.36,0,0
4171.37,0,0
4171.38,0,0
4171.39,0,0
4171.4,0,0
4171.41,0,0
4171.42,0,0
4171.43,0,0
4171.44,0,0
4171.45,0,0
4171.46,0,0
4171.47,0,0
4171.48,0,0
4171.49,0,0
4171.5,0,0
4171.51,0,0
4171.52,0,0
4171.53,0,0
4171.54,0,0
4171.55,0,0
4171.56,0,0
4171.57,0,0
4171.58,0,0
4171.59,0,0
4171.6,0,0
4171.61,0,0
4171.62,0,0
4171.63,0,0
4171.64,0,0
4171.65,0,0
4171.66,0,0
4171.67,0,0
4171.68,0,0
4171.69,0,0
4171.7,0,0
4171.71,0,0
4171.72,0,0
4171.73,0,0
4171.74,0,0
4171.75,0,0
4171.76,0,0
4171.77,0,0
4171.78,0,0
4171.79,0,0
4171.8,0,0
4171.81,0,0
4171.82,0,0
4171.83,0,0
4171.84,0,0
4171.85,0,0
4171.86,0,0
4171.87,0,0
4171.88,0,0
4171.89,0,0
4171.9,0,0
4171.91,0,0
4171.92,0,0
4171.93,0,0
4171.94,0,0
4171.95,0,0
4171.96,0,0
4171.97,0,0
4171.98,0,0
4171.99,0,0
4172,0,0
4172.01,0,0
4172.02,0,0
4172.03,0,0
4172.04,0,0
4172.05,0,0
4172.06,0,0
4172.07,0,0
4172.08,0,0
4172.09,0,0
4172.1,0,0
4172.11,0,0
4172.12,0,0
4172.13,0,0
4172.14,0,0
4172.15,0,0
4172.16,0,0
4172.17,0,0
4172.18,0,0
4172.19,0,0
4172.2,0,0
4172.21,0,0
4172.22,0,0
