elev_ft_NAVD88,area_ft2,volume_ft3
4170,0,0
4170.01,0,0
4170.02,0,0
4170.03,0,0
4170.04,0,0
4170.05,0,0
4170.06,0,0
4170.07,0,0
4170.08,0,0
4170.09,9687.52,4.86
4170.1,168186.1,993.09
4170.11,261293.93,3119.33
4170.12,334488.52,6189.91
4170.13,399610.17,9737.32
4170.14,470382.89,14228.68
4170.15,571832.74,19206.46
4170.16,750513.65,25601.6
4170.17,964446.37,33941.27
4170.18,3549399.46,55706.92
4170.19,13795834.88,133927.51
4170.2,23308171.62,317900.64
4170.21,31565705.49,582293.13
4170.22,40850923.72,952750.21
4170.23,48028030.08,1374804.43
4170.24,69432873.24,1986200.98
4170.25,98303026.47,2821679.36
4170.26,108423524.1,3833294.58
4170.27,122299281.1,5012203.32
4170.28,132794631.9,6255172.19
4170.29,141456350.6,7671669.82
4170.3,146706986.1,9076774.41
4170.31,150738070.6,10601419.39
4170.32,154769693.2,12091516.04
4170.33,158148753.8,13695458.92
4170.34,160087334.1,15249241.35
4170.35,162080272.1,16900298.8
4170.36,164255389.3,18492680.33
4170.37,166707946.3,20188325.63
4170.38,168763584.1,21825799.56
4170.39,171938937.6,23570456.53
4170.4,175344369.8,25264721.52
4170.41,179102320,27081763.28
4170.42,182310234.4,28846909.12
4170.43,185051533.3,30730303.58
4170.44,187423091.9,32548583.35
4170.45,189701542.6,34481211.15
4170.46,192296452.3,36345411.11
4170.47,195206744.6,38330455.28
4170.48,198742151,40253251.28
4170.49,201710299.3,42305820.2
4170.5,204061944.6,44286704.79
4170.51,206247287.5,46288947.57
4170.52,209408648,48418472.8
4170.53,212273462.7,50477463.54
4170.54,214630759.1,52666146.26
4170.55,217489653.7,54774068.51
4170.56,220646439.6,57020161.82
4170.57,223238658.3,59187705.78
4170.58,225495043,61487864.75
4170.59,227557408.2,63699635.35
4170.6,230442943.5,66045410.58
4170.61,233372879.9,68308717.08
4170.62,235916661.1,70714933.02
4170.63,238322126,73029998.92
4170.64,241023329.3,75487193.25
4170.65,243499566.9,77851993.62
4170.66,245835873.6,80360381.43
4170.67,247933221.6,82770731.33
4170.68,251340268.3,85330389.62
4170.69,254044162.6,87797810.19
4170.7,256512058.2,90414657.27
4170.71,259819269.6,92934629.29
4170.72,263302471.1,95615971.02
4170.73,265943127.4,98200313.24
4170.74,268160492.9,100938382.4
4170.75,270122753.8,103566429.7
4170.76,272945320.2,106215929.9
4170.77,275735864,109028419.9
4170.78,278188421,111732707.2
4170.79,280864598.2,114598525.7
4170.8,283299394.7,117352744
4170.81,286040155.4,120271110
4170.82,288932687.2,123077775.4
4170.83,291485886.8,126053411
4170.84,293929832.7,128911260.2
4170.85,296315922.5,131937187.2
4170.86,298525484.2,134841603
4170.87,301161027.7,137915044.9
4170.88,304027457,140868114.4
4170.89,307218956.5,144001298.9
4170.9,309833241.2,147014037.7
4170.91,312488428.8,150204052.9
4170.92,315648982,153268434.5
4170.93,318991714.4,156522751
4170.94,321508047.5,159649596
4170.95,324072549.2,162958968.9
4170.96,326337814.1,166134172.4
4170.97,329298965.9,169495623
4170.98,331717885.7,172722705.5
4170.99,334912076.1,176138897.5
4171,337658487.8,179422453.8
4171.01,340199578,182731823.4
4171.02,343500062,186235862.9
4171.03,347060763.6,189607070.6
4171.04,350903748.7,193185033
4171.05,353952895.4,196627269.2
4171.06,356936651.4,200271543.2
4171.07,359549859.7,203769810.1
4171.08,362600621,207471711.1
4171.09,366271652.7,211029781.2
4171.1,371561038.3,214810890.3
4171.11,374756305.1,218455355.6
4171.12,377916320.1,222313412.9
4171.13,381384452,226020608.5
4171.14,384618738,229948138.6
4171.15,387336894.5,233717036.9
4171.16,390520051.9,237703991.7
4171.17,397086575.4,241541499.3
4171.18,410272634.8,245662354.8
4171.19,419103077.8,249717547.3
4171.2,429190207.3,254077287.6
4171.21,434964238,258301259.4
4171.22,438690165.6,262781298.7
4171.23,443019948.5,267083923.2
4171.24,447864515.5,271649707.3
4171.25,451400998.3,276041591.9
