elev_ft_NAVD88,area_ft2,volume_ft3
4170,0,0
4170.01,0,0
4170.02,0,0
4170.03,0,0
4170.04,0,0
4170.05,0,0
4170.06,0,0
4170.07,0,0
4170.08,0,0
4170.09,0,0
4170.1,0,0
4170.11,0,0
4170.12,0,0
4170.13,0,0
4170.14,0,0
4170.15,2401159.32,9501.2
4170.16,7055743.28,64703.69
4170.17,10313171.67,146837.11
4170.18,65238446.45,427225.54
4170.19,93463841.44,1201539.63
4170.2,108117560,2244771.08
4170.21,112455685,3323348.01
4170.22,116118374.6,4493773.74
4170.23,123643693.5,5666588.37
4170.24,128723990.1,6962663.31
4170.25,132015863,8234687.11
4170.26,136662643.1,9544359.89
4170.27,143825756.4,10983962.35
4170.28,147784991.8,12407484.51
4170.29,151041343.8,13939389.21
4170.3,155452663.3,15431746.39
4170.31,159069875.4,17045278.51
4170.32,162092919.7,18612474.3
4170.33,165442379.5,20290342.33
4170.34,168401647.6,21919824.4
4170.35,171299830.5,23660592.71
4170.36,174691538.6,25348735.99
4170.37,177472125.8,27154744.62
4170.38,179588041.5,28897179.55
4170.39,183283561,30753556.89
4170.4,186557673.5,32559813.46
4170.41,188620846,34482962.91
4170.42,191185078.6,36336834.54
4170.43,193542644,38308785.69
4170.44,196339377.1,40211590.8
4170.45,199041925.9,42238085.35
4170.46,201571175.7,44194614.76
4170.47,203848281,46272167.85
4170.48,206319943.9,48274365.43
4170.49,208708186.5,50401456.17
4170.5,211000092.1,52450103.73
4170.51,213060842.8,54519660.63
4170.52,215850041.1,56717131.33
4170.53,217838135.3,58834412.75
4170.54,219984728.2,61077716.14
4170.55,222198595.4,63236030.1
4170.56,224630162.8,65526067.54
4170.57,226741503.8,67729186.41
4170.58,228994390.3,70065463.74
4170.59,231124837.3,72311211.47
4170.6,233581161.6,74693227.4
4170.61,235727485.3,76984655.93
4170.62,237794425.2,79412013.91
4170.63,239994299.4,81744634.5
4170.64,242077923.4,84216111.64
4170.65,244036147.8,86589388.85
4170.66,245900188,89101237.22
4170.67,248451773,91513960.12
4170.68,250834095.4,94073890.27
4170.69,253131921.2,96534074.1
4170.7,255653636.3,99141672.13
4170.71,258057755.7,101649660
4170.72,260348315.8,104307006
4170.73,262741940.4,106860773.2
4170.74,265279263.2,109567249.7
4170.75,267591082.1,112169052.8
4170.76,269759471.8,114792178.7
4170.77,272139372.4,117569712.1
4170.78,274071494.3,120236339.7
4170.79,276244189.6,123057099.1
4170.8,278458595.1,125765141.3
4170.81,280713903.4,128631419.1
4170.82,283194177.5,131384239.3
4170.83,286031006.1,134301484.2
4170.84,288636948.8,137106938.9
4170.85,291199835.9,140078966.5
4170.86,293870093,142935021.9
4170.87,296639378,145962150.9
4170.88,298960346.2,148869696.1
4170.89,301848572.5,151948201.5
4170.9,304483308.6,154908119.5
4170.91,307340857.7,158044079
4170.92,311473930.2,161062813.5
4170.93,314621028.6,164272593.3
4170.94,319779363.5,167364721.1
4170.95,324200370.6,170668912.1
4170.96,329810789.8,173860173.3
4170.97,335933302.1,177272698.9
4170.98,340306948,180573510.7
4170.99,345138060.1,184086697.6
4171,350738253.6,187481989.6
4171.01,356006918.6,190931136.3
4171.02,361511044.2,194606393.5
4171.03,373139296.6,198185892
4171.04,382253368.7,202057474.7
4171.05,390649487.9,205830936.9
4171.06,399069018.6,209877761.5
4171.07,406489927.6,213807164.9
4171.08,414212226,218016268.3
4171.09,419752141.6,222086447.2
4171.1,430741555.9,226442046
4171.11,437802143,230680948.4
4171.12,448582199.3,235225353.1
4171.13,454654659.3,239633424.9
4171.14,462177825.4,244333801.7
4171.15,468437577.5,248874382.4
4171.16,476952637.9,253721481.5
4171.17,482743352.6,258405442.5
4171.18,488039734.8,263383517.2
4171.19,493905258.6,268176194.8
4171.2,500265922.4,273275416
4171.21,504824169.4,278181560.5
4171.22,509455880,283382703.2
4171.23,513548318.8,288376400
4171.24,519569650.3,293670144.9
4171.25,523711603,298764404.1
4171.26,527432417.7,303895645.6
