elev_ft_NAVD88,area_ft2,volume_ft3
4170,0,0
4170.01,0,0
4170.02,0,0
4170.03,0,0
4170.04,0,0
4170.05,0,0
4170.06,0,0
4170.07,0,0
4170.08,0,0
4170.09,9687.52,4.86
4170.1,168186.1,993.09
4170.11,261293.93,3119.33
4170.12,334488.52,6189.91
4170.13,399610.17,9737.32
4170.14,470382.89,14228.68
4170.15,2972992.06,28707.66
4170.16,7806256.93,90305.29
4170.17,11277618.04,180778.38
4170.18,68787845.91,482932.46
4170.19,107259676.3,1335467.14
4170.2,131425731.6,2562671.71
4170.21,144021390.5,3905641.14
4170.22,156969298.3,5446523.95
4170.23,171671723.6,7041392.8
4170.24,198156863.3,8948864.29
4170.25,230318889.5,11056366.47
4170.26,245086167.3,13377654.47
4170.27,266125037.5,15996165.67
4170.28,280579623.7,18662656.7
4170.29,292497694.4,21611059.03
4170.3,302159649.5,24508520.81
4170.31,309807946,27646697.89
4170.32,316862612.9,30703990.34
4170.33,323591133.3,33985801.25
4170.34,328488981.6,37169065.74
4170.35,333380102.5,40560891.52
4170.36,338946927.9,43841416.32
4170.37,344180072,47343070.25
4170.38,348351625.5,50722979.11
4170.39,355222498.6,54324013.41
4170.4,361902043.3,57824534.97
4170.41,367723166,61564726.19
4170.42,373495313,65183743.66
4170.43,378594177.3,69039089.27
4170.44,383762468.9,72760174.15
4170.45,388743468.5,76719296.5
4170.46,393867628,80540025.87
4170.47,399055025.5,84602623.14
4170.48,405062094.9,88527616.72
4170.49,410418485.8,92707276.37
4170.5,415062036.7,96736808.52
4170.51,419308130.3,100808608.2
4170.52,425258689.1,105135604.1
4170.53,430111598.1,109311876.3
4170.54,434615487.3,113743862.4
4170.55,439688249.2,118010098.6
4170.56,445276602.4,122546229.4
4170.57,449980162.1,126916892.2
4170.58,454489433.3,131553328.5
4170.59,458682245.5,136010846.8
4170.6,464024105.1,140738638
4170.61,469100365.3,145293373
4170.62,473711086.3,150126946.9
4170.63,478316425.4,154774633.4
4170.64,483101252.7,159703304.9
4170.65,487535714.7,164441382.5
4170.66,491736061.6,169461618.7
4170.67,496384994.5,174284691.5
4170.68,502174363.7,179404279.9
4170.69,507176083.8,184331884.3
4170.7,512165694.5,189556329.4
4170.71,517877025.3,194584289.3
4170.72,523650786.9,199922977
4170.73,528685067.8,205061086.4
4170.74,533439756.1,210505632.1
4170.75,537713835.8,215735482.4
4170.76,542704792,221008108.7
4170.77,547875236.4,226598132
4170.78,552259915.3,231969046.9
4170.79,557108787.8,237655624.8
4170.8,561757989.8,243117885.3
4170.81,566754058.9,248902529.2
4170.82,572126864.7,254462014.7
4170.83,577516892.9,260354895.2
4170.84,582566781.5,266018199.1
4170.85,587515758.4,272016153.8
4170.86,592395577.2,277776624.9
4170.87,597800405.7,283877195.7
4170.88,602987803.2,289737810.4
4170.89,609067528.9,295949500.4
4170.9,614316549.8,301922157.2
4170.91,619829286.5,308248131.9
4170.92,627122912.2,314331248
4170.93,633612742.9,320795344.2
4170.94,641287411.1,327014317.1
4170.95,648272919.8,333627881
4170.96,656148604,339994345.7
4170.97,665232268,346768321.8
4170.98,672024833.6,353296216.2
4170.99,680050136.1,360225595.1
4171,688396741.4,366904443.4
4171.01,696206496.6,373662959.7
4171.02,705011106.2,380842256.4
4171.03,720200060.2,387792962.6
4171.04,733157117.4,395242507.6
4171.05,744602383.3,402458206.1
4171.06,756005670,410149304.7
4171.07,766039787.3,417576975
4171.08,776812847,425487979.4
4171.09,786023794.3,433116228.4
4171.1,802302594.2,441252936.2
4171.11,812558448,449136304
4171.12,826498519.3,457538766.1
4171.13,836039111.3,465654033.4
4171.14,846796563.4,474281940.3
4171.15,855774472,482591419.4
4171.16,867472689.8,491425473.3
4171.17,879829928.1,499946941.8
4171.18,898312369.5,509045872
4171.19,913008336.4,517893742.1
4171.2,929456129.8,527352703.7
4171.21,939788407.4,536482819.9
4171.22,948146045.6,546164001.9
4171.23,956568267.3,555460323.2
4171.24,967434165.8,565319852.2
