date,north_area_ft2,south_area_ft2,north_volume_ft3,south_volume_ft3
1847-10-18,,25668433590.826443,,421258378161.1583
1848-07-04,,27687764953.841633,,453637334078.1408
1848-09-30,,25668433590.826443,,421258378161.1583
1849-06-16,,27782412444.46166,,456407766934.6579
1849-10-19,,25777545441.592762,,423833155978.94354
1850-06-16,,27874971871.532352,,459193554375.4807
1850-10-19,,25777545441.592762,,423833155978.94354
1851-07-07,,28541153911.028656,,481767667639.5393
1851-12-15,,27337443889.533504,,442629831381.8665
1852-07-09,,29739986620.068336,,507923457542.68146
1852-11-30,,28459123702.177956,,478914735673.57776
1853-07-30,,30777593663.303925,,541260541798.01056
1854-01-08,,29877874035.997185,,510907442890.5942
1854-07-31,,31090728218.623047,,553628160765.1653
1854-12-22,,30439810028.067356,,529014990332.9577
1855-06-07,,31207080171.10805,,559857817318.9233
1855-10-28,,29993397809.80893,,513897834430.66284
1856-06-25,,30994956165.28283,,550521743417.7333
1856-12-04,,29993397809.80893,,513897834430.66284
1857-07-31,,30685124447.674297,,538184517776.8341
1857-10-26,,28621100536.610542,,484622517847.65265
1858-07-30,,29993397809.80893,,513897834430.66284
1858-11-12,,27782412444.46166,,456407766934.6579
1859-06-20,,28377015579.346176,,476070203053.46405
1859-10-05,,27030077709.973774,,434472286871.6586
1860-07-08,,28137470431.013733,,467598596824.77783
1860-12-15,,25355337454.29921,,413609835943.2226
1861-07-08,,27687764953.841633,,453637334078.1408
1861-11-28,,25355337454.29921,,413609835943.2226
1862-07-12,,29877874035.997185,,510907442890.5942
1862-12-03,,28299685850.208195,,473241551640.9458
1863-08-20,,28541153911.028656,,481767667639.5393
1863-12-05,,29583455302.909405,,504954345708.6199
1864-06-28,,31260870163.790485,,562984294015.8982
1864-12-25,,30205043678.241085,,519914756808.72876
1865-06-12,,31645545902.870174,,585001806314.8572
1865-11-22,,31318469474.047543,,566107333152.0813
1866-08-09,,32396550909.554993,,633045388689.8197
1866-11-26,,32148606113.10422,,616907059298.4926
1867-06-19,,32986531251.02343,,685440248296.8823
1867-11-11,,32747636799.648655,,655850033302.4178
1868-07-11,,33314294606.9045,,735182277831.4984
1868-10-09,,33184256927.227013,,711899774977.5858
1869-07-14,,33509460593.487087,,771936663494.488
1869-11-16,,33280388114.902386,,728516606176.1019
1870-06-25,,33439974755.81824,,758548849494.2224
1870-12-03,,33165190537.7039,,708588477690.58
1871-06-06,,33392389133.35848,,748520675322.1333
1871-11-16,,33224307247.577133,,718546812523.0452
1872-06-27,,,,
1872-12-25,,33392389133.35848,,748520675322.1333
1873-07-16,,,,
1873-12-07,,33408389275.940327,,751864035158.3103
1874-06-28,,33554439048.603386,,781996864084.7023
1874-12-05,,33244524412.029324,,721867085410.9796
1875-08-02,,33481115802.395863,,765237933259.2275
1875-09-01,,33076448578.818382,,698649906224.6819
